customer_id,plan_type,package_start_date,last_payment_date,monthly_bill,data_usage_gb,avg_call_minutes,complaints,tenure_months
100000,Prepaid,1/31/2022,8/10/2022,1717,91.3,263,0,35
100001,Prepaid,12/30/2022,11/17/2023,2674,120.6,1925,2,24
100002,Prepaid,5/10/2021,5/20/2021,5728,71.5,1674,1,44
100003,Prepaid,7/18/2022,6/11/2023,2478,64.6,1408,2,29
100004,Postpaid,2/4/2022,4/9/2022,1415,149.4,1837,0,35
100005,Prepaid,12/31/2021,1/15/2023,5301,3.6,418,3,36
100006,Postpaid,11/10/2021,4/17/2022,2549,134.5,1934,1,38
100007,Postpaid,5/2/2019,3/15/2020,4625,24.1,1657,2,69
100008,Postpaid,4/11/2020,9/4/2020,4988,118.3,1750,1,57
100009,Prepaid,5/23/2022,12/20/2022,3277,93.5,98,2,31
100010,Prepaid,11/27/2019,10/14/2020,5549,52.6,1125,1,62
100011,Postpaid,1/22/2023,5/28/2023,4305,131.3,1362,1,23
100012,Postpaid,3/29/2019,9/8/2019,4275,3.9,1863,1,70
100013,Prepaid,10/28/2022,8/24/2023,5329,35.6,1699,2,26
100014,Prepaid,1/28/2022,4/10/2022,1935,85.9,1312,2,35
100015,Prepaid,5/21/2021,1/29/2022,4800,54,182,0,44
100016,Postpaid,5/11/2019,6/14/2019,1174,92.3,1048,1,68
100017,Prepaid,8/25/2022,12/2/2022,5962,5.6,835,0,28
100018,Prepaid,2/8/2021,5/3/2021,1006,19.2,1239,1,47
100019,Postpaid,12/10/2019,10/8/2020,5675,20.8,1447,0,61
100020,Prepaid,12/8/2022,1/7/2024,2119,30,422,0,25
100021,Prepaid,3/16/2021,10/21/2021,1941,70,1878,0,46
100022,Postpaid,1/21/2020,1/11/2021,5427,113.3,1551,0,60
100023,Postpaid,4/30/2022,5/26/2022,3490,136,1828,1,32
100024,Prepaid,8/13/2021,12/28/2021,4055,125.6,528,1,41
100025,Prepaid,10/4/2019,10/11/2020,889,31.1,881,1,63
100026,Prepaid,3/30/2022,12/15/2022,6013,67.3,699,2,33
100027,Prepaid,4/4/2020,10/9/2020,4908,31.5,1664,2,57
100028,Postpaid,8/30/2022,3/9/2023,3820,41.1,731,3,28
100029,Prepaid,1/22/2019,7/2/2019,2657,76.5,1708,4,72
100030,Prepaid,9/10/2019,10/14/2019,1604,12.1,737,1,64
100031,Prepaid,1/17/2021,7/25/2021,1744,34.3,1373,0,48
100032,Prepaid,5/6/2021,11/29/2021,3589,140.4,131,1,44
100033,Prepaid,4/19/2020,4/7/2021,4675,71,136,0,57
100034,Postpaid,12/18/2021,6/6/2022,2410,67.9,274,1,37
100035,Prepaid,5/25/2020,11/27/2020,3723,4.2,65,2,56
100036,Postpaid,2/8/2023,11/29/2023,4682,38.6,871,0,23
100037,Postpaid,11/30/2020,2/10/2021,4021,130.2,1431,0,49
100038,Prepaid,9/2/2021,2/8/2022,5948,26.4,212,1,40
100039,Prepaid,7/9/2019,12/19/2019,5191,63.4,1683,1,66
100040,Prepaid,8/15/2021,1/27/2022,5821,4.1,1741,1,41
100041,Prepaid,11/17/2020,12/1/2021,5535,72.8,563,1,50
100042,Prepaid,8/15/2021,10/12/2021,3187,5.1,399,1,41
100043,Prepaid,7/16/2020,6/27/2021,5523,123.3,1982,1,54
100044,Prepaid,6/21/2022,9/22/2022,6063,124.1,730,1,30
100045,Postpaid,4/11/2021,4/16/2022,1741,118.6,1537,0,45
100046,Prepaid,2/28/2022,9/2/2022,5725,43.9,1900,0,34
100047,Postpaid,10/8/2020,3/14/2021,3366,125.9,1910,2,51
100048,Prepaid,1/21/2019,5/28/2019,1775,82.4,1448,0,72
100049,Postpaid,4/20/2021,4/6/2022,1754,57.3,1165,0,45
100050,Prepaid,6/16/2019,8/27/2019,2062,94.5,230,0,67
100051,Prepaid,7/21/2022,2/4/2023,5847,3.8,792,0,29
100052,Postpaid,1/23/2020,1/26/2021,1743,23.2,1374,2,60
100053,Prepaid,8/23/2020,10/20/2020,3002,111.9,709,1,53
100054,Prepaid,11/12/2019,10/13/2020,6100,38.1,1865,1,62
100055,Postpaid,1/14/2019,10/7/2019,4127,90.5,1262,4,72
100056,Prepaid,8/30/2019,4/19/2020,6430,59,1932,1,65
100057,Prepaid,2/15/2021,7/15/2021,5992,128.5,1935,2,47
100058,Postpaid,10/1/2022,5/13/2023,5074,143,1387,1,27
100059,Postpaid,7/18/2020,8/10/2021,3059,132.8,542,4,54
